source_token,source_lemma,target_rendering,block_id
kusalā,kusala-NOM.PL.M,wholesome,1-0a-1
dhammā,dhamma-NOM.PL.M,states,1-0a-1
akusalā,akusala-NOM.PL.M,unwholesome,1-0a-1
dhammā,dhamma-NOM.PL.M,states,1-0a-1
abyākatā,abyākata-NOM.PL.M,indeterminate,1-0a-1
dhammā,dhamma-NOM.PL.M,states,1-0a-1
sukhāya,sukha-INSTR.SG.F,pleasant,1-0a-2
vedanāya,vedanā-INSTR.SG.F,feeling,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,associated-with,1-0a-2
dhammā,dhamma-NOM.PL.M,states,1-0a-2
dukkhāya,dukkha-INSTR.SG.F,painful,1-0a-2
vedanāya,vedanā-INSTR.SG.F,feeling,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,associated-with,1-0a-2
dhammā,dhamma-NOM.PL.M,states,1-0a-2
adukkhamasukhāya,adukkhamasukha-INSTR.SG.F,neither-painful-nor-pleasant,1-0a-2
vedanāya,vedanā-INSTR.SG.F,feeling,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,associated-with,1-0a-2
dhammā,dhamma-NOM.PL.M,states,1-0a-2
vipākā,vipāka-NOM.PL.M,resultant,1-0a-3
dhammā,dhamma-NOM.PL.M,states,1-0a-3
vipākadhammadhammā,vipāka+dhamma+dhamma-NOM.PL.M,states-with-resultant-quality,1-0a-3
nevavipākanavipākadhammadhammā,neva+vipāka+na+vipāka+dhamma+dhamma-NOM.PL.M,states-neither-resultant-nor-having-resultant-quality,1-0a-3
upādiṇṇupādāniyā,upādiṇṇupādāniyā,clung-to-and-favourable-to-clinging,1-0a-4
dhammā,dhamma-NOM.PL.M,states,1-0a-4
anupādiṇṇupādāniyā,anupādiṇṇupādāniyā,not-clung-to-but-favourable-to-clinging,1-0a-4
dhammā,dhamma-NOM.PL.M,states,1-0a-4
anupādiṇṇaanupādāniyā,anupādiṇṇaanupādāniyā,neither-clung-to-nor-favourable-to-clinging,1-0a-4
dhammā,dhamma-NOM.PL.M,states,1-0a-4
saṃkiliṭṭhasaṃkilesikā,saṃkiliṭṭhasaṃkilesikā,defiled-and-defiling,1-0a-5
dhammā,dhamma-NOM.PL.M,states,1-0a-5
asaṃkiliṭṭhasaṃkilesikā,asaṃkiliṭṭhasaṃkilesikā,not-defiled-but-defiling,1-0a-5
dhammā,dhamma-NOM.PL.M,states,1-0a-5
asaṃkiliṭṭhaasaṃkilesikā,asaṃkiliṭṭhaasaṃkilesikā,neither-defiled-nor-defiling,1-0a-5
dhammā,dhamma-NOM.PL.M,states,1-0a-5
savitakkasavicārā,sa+vitakka+sa+vicāra-NOM.PL.M,with-applied-and-sustained-thought,1-0a-6
dhammā,dhamma-NOM.PL.M,states,1-0a-6
avitakkavicāramattā,a+vitakka+vicāra+matta-NOM.PL.M,without-applied-thought-with-sustained-thought-only,1-0a-6
dhammā,dhamma-NOM.PL.M,states,1-0a-6
avitakkaavicārā,a+vitakka+a+vicāra-NOM.PL.M,without-applied-and-sustained-thought,1-0a-6
dhammā,dhamma-NOM.PL.M,states,1-0a-6
pītisahagatā,pīti+sahagata-NOM.PL.M,accompanied-by-zest,1-0a-7
dhammā,dhamma-NOM.PL.M,states,1-0a-7
sukhasahagatā,sukha+sahagata-NOM.PL.M,accompanied-by-happiness,1-0a-7
dhammā,dhamma-NOM.PL.M,states,1-0a-7
upekkhāsahagatā,upekkhā+sahagata-NOM.PL.M,accompanied-by-equanimity,1-0a-7
dhammā,dhamma-NOM.PL.M,states,1-0a-7
dassanena,dassana-INSTR.SG.N,by-vision,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,to-be-abandoned,1-0a-8
dhammā,dhamma-NOM.PL.M,states,1-0a-8
bhāvanāya,bhāvanā-INSTR.SG.F,by-culture,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,to-be-abandoned,1-0a-8
dhammā,dhamma-NOM.PL.M,states,1-0a-8
neva,neva-NEG,neither,1-0a-8
dassanena,dassana-INSTR.SG.N,by-vision,1-0a-8
na,na-NEG,nor,1-0a-8
bhāvanāya,bhāvanā-INSTR.SG.F,by-culture,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,to-be-abandoned,1-0a-8
dhammā,dhamma-NOM.PL.M,states,1-0a-8
dassanena,dassana-INSTR.SG.N,by-vision,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,having-roots-to-be-abandoned,1-0a-9
dhammā,dhamma-NOM.PL.M,states,1-0a-9
bhāvanāya,bhāvanā-INSTR.SG.F,by-culture,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,having-roots-to-be-abandoned,1-0a-9
dhammā,dhamma-NOM.PL.M,states,1-0a-9
neva,neva-NEG,neither,1-0a-9
dassanena,dassana-INSTR.SG.N,by-vision,1-0a-9
na,na-NEG,nor,1-0a-9
bhāvanāya,bhāvanā-INSTR.SG.F,by-culture,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,having-roots-to-be-abandoned,1-0a-9
dhammā,dhamma-NOM.PL.M,states,1-0a-9
ācayagāmino,ācayagāmin-NOM.PL.M,leading-to-accumulation,1-0a-10
dhammā,dhamma-NOM.PL.M,states,1-0a-10
apacayagāmino,apacayagāmin-NOM.PL.M,leading-to-diminution,1-0a-10
dhammā,dhamma-NOM.PL.M,states,1-0a-10
nevācayagāmināpacayagāmino,neva+ācayagāmin+apācayagāmin-NOM.PL.M,neither-leading-to-accumulation-nor-diminution,1-0a-10
dhammā,dhamma-NOM.PL.M,states,1-0a-10
sekkhā,sekkha-NOM.PL.M,of-the-trainee,1-0a-11
dhammā,dhamma-NOM.PL.M,states,1-0a-11
asekkhā,asekkha-NOM.PL.M,of-the-adept,1-0a-11
dhammā,dhamma-NOM.PL.M,states,1-0a-11
nevasekkhanāsekkhā,neva+sekkha+nāsekkha-NOM.PL.M,of-neither-trainee-nor-adept,1-0a-11
dhammā,dhamma-NOM.PL.M,states,1-0a-11
parittā,paritta-NOM.PL.M,limited,1-0a-12
dhammā,dhamma-NOM.PL.M,states,1-0a-12
mahaggatā,mahaggata-NOM.PL.M,sublime,1-0a-12
dhammā,dhamma-NOM.PL.M,states,1-0a-12
appamāṇā,appamāṇā,immeasurable,1-0a-12
dhammā,dhamma-NOM.PL.M,states,1-0a-12
parittārammaṇā,parittārammaṇā,with-limited-object,1-0a-13
dhammā,dhamma-NOM.PL.M,states,1-0a-13
mahaggatārammaṇā,mahaggatārammaṇā,with-sublime-object,1-0a-13
dhammā,dhamma-NOM.PL.M,states,1-0a-13
appamāṇārammaṇā,appamāṇārammaṇā,with-immeasurable-object,1-0a-13
dhammā,dhamma-NOM.PL.M,states,1-0a-13
hīnā,hīna-NOM.PL.M,base,1-0a-14
dhammā,dhamma-NOM.PL.M,states,1-0a-14
majjhimā,majjhima-NOM.PL.M,medium,1-0a-14
dhammā,dhamma-NOM.PL.M,states,1-0a-14
paṇītā,paṇītā,excellent,1-0a-14
dhammā,dhamma-NOM.PL.M,states,1-0a-14
micchattaniyatā,micchatta+niyata-NOM.PL.M,wrongly-fixed,1-0a-15
dhammā,dhamma-NOM.PL.M,states,1-0a-15
sammattaniyatā,sammatta+niyata-NOM.PL.M,rightly-fixed,1-0a-15
dhammā,dhamma-NOM.PL.M,states,1-0a-15
aniyatā,aniyata-NOM.PL.M,unfixed,1-0a-15
dhammā,dhamma-NOM.PL.M,states,1-0a-15
maggārammaṇā,maggārammaṇā,with-Path-as-object,1-0a-16
dhammā,dhamma-NOM.PL.M,states,1-0a-16
maggahetukā,magga+hetuka-NOM.PL.M,with-Path-as-root,1-0a-16
dhammā,dhamma-NOM.PL.M,states,1-0a-16
maggādhipatino,magga+adhipati-NOM.PL.M,with-Path-as-dominant,1-0a-16
dhammā,dhamma-NOM.PL.M,states,1-0a-16
uppannā,uppanna-NOM.PL.M,arisen,1-0a-17
dhammā,dhamma-NOM.PL.M,states,1-0a-17
anuppannā,anuppanna-NOM.PL.M,not-arisen,1-0a-17
dhammā,dhamma-NOM.PL.M,states,1-0a-17
uppādino,uppādin-NOM.PL.M,bound-to-arise,1-0a-17
dhammā,dhamma-NOM.PL.M,states,1-0a-17
atītā,atīta-NOM.PL.M,past,1-0a-18
dhammā,dhamma-NOM.PL.M,states,1-0a-18
anāgatā,anāgata-NOM.PL.M,future,1-0a-18
dhammā,dhamma-NOM.PL.M,states,1-0a-18
paccuppannā,paccuppanna-NOM.PL.M,present,1-0a-18
dhammā,dhamma-NOM.PL.M,states,1-0a-18
atītārammaṇā,atītārammaṇā,with-past-object,1-0a-19
dhammā,dhamma-NOM.PL.M,states,1-0a-19
anāgatārammaṇā,anāgatārammaṇā,with-future-object,1-0a-19
dhammā,dhamma-NOM.PL.M,states,1-0a-19
paccuppannārammaṇā,paccuppannārammaṇā,with-present-object,1-0a-19
dhammā,dhamma-NOM.PL.M,states,1-0a-19
ajjhattā,ajjhatta-NOM.PL.M,internal,1-0a-20
dhammā,dhamma-NOM.PL.M,states,1-0a-20
bahiddhā,bahiddhā-NOM.PL.M,external,1-0a-20
dhammā,dhamma-NOM.PL.M,states,1-0a-20
ajjhattabahiddhā,ajjhatta+bahiddhā-NOM.PL.M,internal-and-external,1-0a-20
dhammā,dhamma-NOM.PL.M,states,1-0a-20
ajjhattārammaṇā,ajjhattārammaṇā,with-internal-object,1-0a-21
dhammā,dhamma-NOM.PL.M,states,1-0a-21
bahiddhārammaṇā,bahiddhārammaṇā,with-external-object,1-0a-21
dhammā,dhamma-NOM.PL.M,states,1-0a-21
ajjhattabahiddhārammaṇā,ajjhattabahiddhārammaṇā,with-internal-external-object,1-0a-21
dhammā,dhamma-NOM.PL.M,states,1-0a-21
sanidassanasappaṭighā,sanidassanasappaṭighā,visible-and-reacting,1-0a-22
dhammā,dhamma-NOM.PL.M,states,1-0a-22
anidassanasappaṭighā,anidassanasappaṭighā,invisible-and-reacting,1-0a-22
dhammā,dhamma-NOM.PL.M,states,1-0a-22
anidassanaappaṭighā,anidassanaappaṭighā,invisible-and-non-reacting,1-0a-22
dhammā,dhamma-NOM.PL.M,states,1-0a-22
Tikamātikā,tika+mātikā-LABEL,Triad-Matrix,1-0a-22
