block_id,pali_token,english_rendering,clause_index,method,source_snippet,english_snippet
1-1,Katame,Which,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,dhammā,States,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,kusalā?,good?,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,Yasmiṃ,At_what,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,samaye,occasion,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,kāmāvacaraṃ,sensuous_universe,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,kusalaṃ,good,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,cittaṃ,thought,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,uppannaṃ,arisen,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,hoti,is,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,somanassasahagataṃ,accompanied_by_gladness,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
1-1,ñāṇasampayuttaṃ,associated_with_knowledge,0,gloss,1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rū...,"Which are the states that are good? When a good thought concerning the sensuous universe has risen, which is accompan..."
