block_id,source_text,target_text,notes
1-1,"1. Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hoti somanassasahagataṃ ñāṇasampayuttaṃ rūpārammaṇaṃ vā saddārammaṇaṃ vā gandhārammaṇaṃ vā rasārammaṇaṃ vā phoṭṭhabbārammaṇaṃ vā dhammārammaṇaṃ vā yaṃ yaṃ vā panārabbha, tasmiṃ samaye phasso hoti, vedanā hoti, saññā hoti, cetanā hoti, cittaṃ hoti, vitakko hoti, vicāro hoti, pīti hoti, sukhaṃ hoti, cittassekaggatā hoti, saddhindriyaṃ hoti, vīriyindriyaṃ [viriyindriyaṃ (sī. syā.)] hoti, satindriyaṃ hoti, samādhindriyaṃ hoti, paññindriyaṃ hoti, manindriyaṃ hoti, somanassindriyaṃ hoti, jīvitindriyaṃ hoti, sammādiṭṭhi hoti, sammāsaṅkappo hoti, sammāvāyāmo hoti, sammāsati hoti, sammāsamādhi hoti, saddhābalaṃ hoti, vīriyabalaṃ [viriyabalaṃ (sī. syā.)] hoti, satibalaṃ hoti, samādhibalaṃ hoti, paññābalaṃ hoti, hiribalaṃ hoti, ottappabalaṃ hoti, alobho hoti, adoso hoti, amoho hoti, anabhijjhā hoti, abyāpādo hoti, sammādiṭṭhi hoti, hirī hoti, ottappaṃ hoti, kāyapassaddhi [kāyappassaddhi (syā.)] hoti, cittapassaddhi [cittappassaddhi (syā.)] hoti, kāyalahutā hoti, cittalahutā hoti, kāyamudutā hoti, cittamudutā hoti, kāyakammaññatā hoti, cittakammaññatā hoti, kāyapāguññatā hoti, cittapāguññatā hoti, kāyujukatā [kāyujjukatā (sī. ka.)] hoti, cittujukatā [cittujjukatā (sī. ka.)] hoti, sati hoti, sampajaññaṃ hoti, samatho hoti, vipassanā hoti, paggāho hoti, avikkhepo hoti; ye vā pana tasmiṃ samaye aññepi atthi paṭiccasamuppannā arūpino dhammā – ime dhammā kusalā.","Which are the states that are good?
When a good thought concerning the sensuous universe has risen, which is accompanied by gladness and associated with knowledge, and has as its object a sight, a sound, a smell, a taste, a touch, a [mental] state, or what not, then there is:
contact ( § 2 )
feeling ( § 3 )
perception ( § 4 )
volition ( § 5 )
thought ( § 6 )
application ( § 7 )
sustained thinking ( § 8 )
zest ( § 9 )
ease ( § 10 )
self-collectedness ( § 11 )
the faculty of faith ( § 12 )
the faculty of energy ( § 13 )
the faculty of mindfulness ( § 14 )
the faculty of concentration ( § 15 )
the faculty of insight ( § 16 )
the faculty of ideation ( § 17 )
the faculty of gladness ( § 18 )
the faculty of life ( § 19 )
right views ( § 20 )
right intention ( § 21 )
right endeavour ( § 22 )
right mindfulness ( § 23 )
right concentration ( § 24 )
the power of faith ( § 25 )
the power of energy ( § 26 )
the power of mindfulness ( § 27 )
the power of concentration ( § 28 )
the power of insight ( § 29 )
the power of conscientiousness ( § 30 )
the power of the fear of blame ( § 31 )
absence of greed ( § 32 )
absence of hate ( § 33 )
absence of dullness ( § 34 )
absence of covetousness ( § 35 )
absence of malice ( § 36 )
right views ( § 37 )
conscientiousness ( § 38 )
fear of blame ( § 39 )
serenity in mind and mental factors ( §§ 40 , 41 )
lightness in mind and mental factors ( §§ 42 , 43 )
plasticity in mind and mental factors ( §§ 44 , 45 )
facility in mind and mental factors ( §§ 46 , 47 )
fitness in mind and mental factors ( §§ 48 , 49 )
directness in mind and mental factors ( §§ 50 , 51 )
mindfulness ( § 52 )
intelligence ( § 53 )
quiet ( § 54 )
intuition ( § 55 )
grasp ( § 56 )
balance ( § 57 ).
Now these—or whatever other incorporeal, causally induced states there are on that occasion—these are states that are good.",
1-2,2. Katamo tasmiṃ samaye phasso hoti? Yo tasmiṃ samaye phasso phusanā saṃphusanā saṃphusitattaṃ – ayaṃ tasmiṃ samaye phasso hoti.,"What on that occasion is contact ( phasso )?
The contact which on that occasion is touching, the being brought into contact, the state of having been brought into touch with—this is the contact that there then is.",
1-3,3. Katamā tasmiṃ samaye vedanā hoti? Yaṃ tasmiṃ samaye tajjāmanoviññāṇadhātusamphassajaṃ cetasikaṃ sātaṃ cetasikaṃ sukhaṃ cetosamphassajaṃ sātaṃ sukhaṃ vedayitaṃ cetosamphassajā sātā sukhā vedanā – ayaṃ tasmiṃ samaye vedanā hoti.,"What on that occasion is feeling ( vedana )?
The mental pleasure, the mental ease, which, on that occasion, is born of contact with the appropriate element of representative intellection; the pleasurable, easeful sensation which is born of contact with thought; the pleasurable, easeful feeling which is born of contact with thought—this is the feeling that there then is.",
1-4,4. Katamā tasmiṃ samaye saññā hoti? Yā tasmiṃ samaye tajjāmanoviññāṇadhātusamphassajā saññā sañjānanā sañjānitattaṃ – ayaṃ tasmiṃ samaye saññā hoti.,"What on that occasion is perception ( saññā )?
The perception, the perceiving, the state of having perceived which on that occasion is born of contact with the appropriate element of representative intellection—this is the perception that there then is.",
1-5,5. Katamā tasmiṃ samaye cetanā hoti? Yā tasmiṃ samaye tajjāmanoviññāṇadhātusamphassajā cetanā sañcetanā cetayitattaṃ [sañcetayitattaṃ (syā.)] – ayaṃ tasmiṃ samaye cetanā hoti.,"What on that occasion is volition ( cetanā )?
The volition, purpose, purposefulness, which is born of contact with the appropriate element of representative intellection—this is the volition that there then is.",
1-6,6. Katamaṃ tasmiṃ samaye cittaṃ hoti? Yaṃ tasmiṃ samaye cittaṃ mano mānasaṃ hadayaṃ paṇḍaraṃ mano manāyatanaṃ manindriyaṃ viññāṇaṃ viññāṇakkhandho tajjāmanoviññāṇadhātu – idaṃ tasmiṃ samaye cittaṃ hoti.,"What on that occasion is thought ( cittaṃ )?
The thought which on that occasion is ideation, mind, heart, that which is clear, ideation as the sphere of mind, the faculty of mind, intellection, the skandha of intellection, the appropriate element of representative intellection—this is the thought that there then is.",
1-7,7. Katamo tasmiṃ samaye vitakko hoti? Yo tasmiṃ samaye takko vitakko saṅkappo appanā byappanā cetaso abhiniropanā sammāsaṅkappo – ayaṃ tasmiṃ samaye vitakko hoti.,"What on that occasion is application of mind ( vitakko )?
The discrimination, the application, which on that occasion is the disposing, the fixing, the focussing, the superposing of the mind, right disposing—this is the application that there then is.",
1-8,8. Katamo tasmiṃ samaye vicāro hoti? Yo tasmiṃ samaye cāro vicāro anuvicāro upavicāro cittassa anusandhānatā anupekkhanatā – ayaṃ tasmiṃ samaye vicāro hoti.,"What on that occasion is sustained thought ( vicāro )?
The process, the sustained procedure ( vicāro ), the progress and access [of the mind] which on that occasion is the [continuous] adjusting and focussing of thought—this is the sustained thought that there then is.",
1-9,9. Katamā tasmiṃ samaye pīti hoti? Yā tasmiṃ samaye pīti pāmojjaṃ āmodanā pamodanā hāso pahāso vitti odagyaṃ attamanatā cittassa – ayaṃ tasmiṃ samaye pīti hoti.,"What on that occasion is zest ( pīti )?
The zest which on that occasion is joy, rejoicing at, rejoicing over, mirth and merriment, felicity, exultation, transport of mind—this is the zest that there then is.",
1-10,10. Katamaṃ tasmiṃ samaye sukhaṃ hoti? Yaṃ tasmiṃ samaye cetasikaṃ sātaṃ cetasikaṃ sukhaṃ cetosamphassajaṃ sātaṃ sukhaṃ vedayitaṃ cetosamphassajā sātā sukhā vedanā – idaṃ tasmiṃ samaye sukhaṃ hoti.,"What on that occasion is ease ( sukhaṃ )?
The mental pleasure, the mental ease, which on that occasion is the pleasant, easeful experience born of contact with thought—this is the ease that there then is.",
